ToolName,Strength,Category,N_Valid
pmedici,4,UNIFORM_ALL_,7
acts,4,INDUSTRIAL_,12
cagen,4,INDUSTRIAL_,14
caopt,4,INDUSTRIAL_,9
medici,4,INDUSTRIAL_,7
pmedici,4,INDUSTRIAL_,9
acts,4,HIGHLY_CONSTRAINED_,23
cagen,4,HIGHLY_CONSTRAINED_,23
caopt,4,HIGHLY_CONSTRAINED_,8
medici,4,HIGHLY_CONSTRAINED_,7
pmedici,4,HIGHLY_CONSTRAINED_,8
acts,4,FM_,15
cagen,4,FM_,15
caopt,4,FM_,15
kali,4,FM_,1
medici,4,FM_,14
pmedici,4,FM_,15
acts,4,CNF_,30
cagen,4,CNF_,30
caopt,4,CNF_,6
medici,4,CNF_,4
pmedici,4,CNF_,4
